pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-2427 b,TOI-2427,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,1.30600110,0.00001020,-0.00001020,0,0.020200,0.000200,-0.000200,0,1.800,0.120,-0.120,0,0.161,0.011,-0.011,0,,,,,,,,,,,,,,,,,,1117,46,-46,0,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,,4072.00,121.00,-121.00,0,0.65,0.02,-0.02,0,0.64,0.02,-0.02,0,,,,,,4.62,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h29m10.02s,52.2917315,-31d21m46.32s,-31.3628665,28.5147000,0.0278000,-0.0278000,10.2950000,0.0110000,-0.0110000,7.0480000,0.0240000,-0.0240000,9.8184500,0.0005400,-0.0005400,2022-02-15,2022-02,2022-02-15
TOI-244 b,TOI-244,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,7.39722500,0.00002600,-0.00002300,0,0.055900,0.001300,-0.001300,0,1.520,0.120,-0.120,0,0.136,0.011,-0.011,0,2.68000,0.30000,-0.30000,0,0.00843,0.00094,-0.00094,0,Mass,,,,,7.30,0.40,-0.40,0,458,20,-20,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,M2.5 V,3433.00,100.00,-100.00,0,0.43,0.03,-0.03,0,0.43,0.03,-0.03,0,-0.390,0.070,-0.070,0,[Fe/H],4.66,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h42m16.74s,10.5697537,-36d43m04.71s,-36.7179743,22.0337000,0.0334000,-0.0333000,12.8610000,0.0690000,-0.0690000,7.9700000,0.0290000,-0.0290000,11.5530000,0.0010170,-0.0010170,2023-10-09,2023-05,2023-10-09
TOI-2443 b,TOI-2443,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,15.66949400,0.00092600,-0.00100400,0,,,,,2.773,0.049,-0.051,0,0.247,0.004,-0.005,0,,,,,,,,,,,,,,,,,,601,,,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,,4357.00,100.00,-100.00,0,0.73,0.07,-0.07,0,0.66,0.08,-0.08,0,-0.439,0.080,-0.080,0,[m/H],4.71,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h40m43.17s,40.1798608,+01d11m58.83s,1.1996757,23.9258000,0.0232000,-0.0233000,9.5100000,0.0300000,-0.0300000,6.5000000,0.0180000,-0.0180000,9.0333000,0.0004240,-0.0004240,2023-05-26,2023-01,2023-05-26
TOI-2445 b,TOI-2445,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.37112810,0.00000050,-0.00000050,0,0.006400,0.000100,-0.000100,0,1.250,0.080,-0.080,0,0.112,0.007,-0.007,0,,,,,,,,,,,,,,,,,,1060,54,-54,0,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,,3333.00,157.00,-157.00,0,0.27,0.01,-0.01,0,0.25,0.01,-0.01,0,,,,,,4.97,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m15.88s,43.3161555,+00d03m08.41s,0.0523366,48.5820000,0.2487000,-0.2462000,15.6920000,0.0320000,-0.0320000,10.7790000,0.0190000,-0.0190000,14.3977000,0.0006440,-0.0006440,2022-02-15,2022-02,2022-02-15
TOI-2459 b,TOI-2459,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,19.10471800,0.00002300,-0.00002400,0,,,,,2.953,0.092,-0.066,0,0.263,0.008,-0.006,0,,,,,,,,,,,,,,,,,,445,,,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,,4195.00,124.00,-124.00,0,0.68,0.06,-0.06,0,0.66,0.08,-0.08,0,,,,,,4.60,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h28m34.40s,82.1433321,-39d22m22.96s,-39.3730456,36.6113000,0.0346000,-0.0345000,10.7720000,0.0150000,-0.0150000,7.5740000,0.0260000,-0.0260000,10.1652000,0.0006550,-0.0006550,2023-05-26,2023-01,2023-05-26
TOI-2497 b,TOI-2497,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,10.65566900,0.00003800,-0.00003800,0,0.116600,0.001800,-0.001800,0,11.142,0.616,-0.549,0,0.994,0.055,-0.049,0,1531.93292,130.30965,-130.30965,0,4.82000,0.41000,-0.41000,0,Mass,0.195000,0.043000,-0.040000,0,,,,,1595,45,-42,0,0,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,,7360.00,320.00,-300.00,0,2.36,0.12,-0.11,0,1.86,0.09,-0.08,0,0.094,0.076,-0.072,0,[Fe/H],3.96,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h00m15.02s,90.0625878,+11d53m02.61s,11.8840577,285.2890000,3.5640000,-3.4790000,9.5470000,0.0040000,-0.0040000,8.4860000,0.0160000,-0.0160000,9.4724400,0.0002620,-0.0002620,2023-03-15,2023-02,2023-03-15
TOI-2498 b,TOI-2498,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=FRAME_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1428F/abstract target=ref>Frame et al. 2023</a>,3.73825200,0.00000400,-0.00000400,0,0.049100,0.003000,-0.003000,0,6.060,0.290,-0.270,0,0.541,0.026,-0.024,0,34.62000,4.10000,-4.09000,0,0.10893,0.01290,-0.01287,0,Mass,0.089000,0.075000,-0.075000,0,,,,,1443,15,-28,0,0,<a refstr=FRAME_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1428F/abstract target=ref>Frame et al. 2023</a>,,5905.00,12.00,-12.00,0,1.26,0.04,-0.04,0,1.12,0.02,-0.02,0,0.167,0.010,-0.041,0,[Fe/H],4.30,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h21m39.89s,95.4162204,+11d15m05.93s,11.2516477,275.2650000,4.2040000,-4.0820000,11.1960000,0.0270000,-0.0270000,9.9330000,0.0230000,-0.0230000,11.2677000,0.0008100,-0.0008100,2023-05-26,2023-05,2023-05-26
TOI-251 b,TOI-251,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,4.93777000,0.00002800,-0.00002900,0,0.057410,0.000230,-0.000170,0,2.740,0.180,-0.180,0,0.244,0.016,-0.016,0,317.83000,,,1,1.00000,,,1,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,,5875.00,100.00,-190.00,0,0.88,0.04,-0.05,0,1.04,0.01,-0.01,0,-0.106,0.079,-0.070,0,[Fe/H],4.56,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h32m14.90s,353.0620655,-37d15m21.11s,-37.2558629,99.5230000,0.4374000,-0.4336000,9.8870000,0.0050000,-0.0050000,8.4260000,0.0270000,-0.0270000,9.7541100,0.0012770,-0.0012770,2020-12-10,2021-01,2020-12-17
TOI-2524 b,TOI-2524,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=EBERHARDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..271E/abstract target=ref>Eberhardt et al. 2023</a>,7.18585000,0.00001000,-0.00001000,0,0.073000,0.000700,-0.000700,0,11.209,0.224,-0.336,0,1.000,0.020,-0.030,0,203.41018,12.71314,-12.71314,0,0.64000,0.04000,-0.04000,0,Mass,0.000000,,,0,,,,,1100,20,-20,0,0,<a refstr=EBERHARDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..271E/abstract target=ref>Eberhardt et al. 2023</a>,,5831.00,80.00,-80.00,0,1.12,0.02,-0.02,0,1.01,0.03,-0.03,0,0.060,0.050,-0.050,0,[Fe/H],4.34,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h43m32.84s,160.8868435,-01d54m45.71s,-1.9126984,438.8420000,8.1720000,-7.8850000,12.8000000,0.1030000,-0.1030000,11.1980000,0.0250000,-0.0250000,12.6225000,0.0001930,-0.0001930,2023-12-14,2023-12,2023-12-19
TOI-2525 b,TOI-2525,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>,23.28560000,0.00170000,-0.00170000,0,0.151100,0.002000,-0.002000,0,8.676,0.112,-0.112,0,0.774,0.010,-0.010,0,26.69759,1.58914,-1.58914,0,0.08400,0.00500,-0.00500,0,Mass,0.170000,0.011000,-0.010000,0,,,,,,,,,1,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>,K8 V,5096.00,102.00,-102.00,0,0.79,0.03,-0.03,0,0.85,0.04,-0.04,0,0.140,0.050,-0.050,0,[Fe/H],4.58,0.20,-0.20,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m24.23s,86.8509737,-60d31m16.71s,-60.5213081,395.3980000,2.2530000,-2.2290000,14.2160000,0.0920000,-0.0920000,11.9050000,0.0240000,-0.0240000,14.0120000,0.0002420,-0.0002420,2023-02-25,2023-02,2023-02-25
